,공원명,면적,공원주소,위도,경도
78,삼청근린공원,380735㎡ ,서울특별시 종로구 북촌로 134-1 (우) 03050,,
79,인왕산도시자연공원,1807420.9㎡,서울특별시 종로구 옥인동 산 3-1 ,37.5845055969599,126.963877217283
80,상도근린공원,359342.8㎡,서울특별시 동작구 성대로6사길 27-6(상도공원) ,37.4941118064266,126.937594360049
81,일자산도시자연공원,632733㎡,서울특별시 강동구 동남로 660(일자산공원),37.5330196344931,127.151356340452
82,쌍문근린공원,328018㎡,서울특별시 도봉구 쌍문동 산80,37.6535418440107,127.028796610408
83,수락산도시자연공원,6691885.3㎡,서울특별시 노원구 상계동 산3-1,37.6920670995472,127.065364973013
84,송파나루근린공원(석촌호수),285757㎡,서울 송파구 잠실동 47,37.507704547907,127.100563730672
85,선유도근린공원,110407㎡,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,37.5423832345578,126.901819342041
86,손기정체육공원,29682.2㎡,서울특별시 중구 손기정로 101 ,37.5554795035057,126.964815746241
87,성북근린공원,137759㎡,서울특별시 성북구 돈암동 616-1055,37.5949981226742,127.008167626111
88,봉제산공원,917190㎡,서울특별시 강서구 화곡동 산41-6,37.542327469887,126.851960042338
89,서울창포원,51470㎡,서울특별시 도봉구 마들로 916(서울창포원) ,37.6895391740107,127.047162261964
90,북서울꿈의숲,662543㎡,서울특별시 강북구 월계로 173,37.6202544613023,127.044324732036
91,서서울호수공원,217946㎡,서울특별시 양천구 남부순환로64길 20 (신월동),37.5274318869812,126.830086887893
92,중랑캠핑숲,179666㎡,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),37.606399332183,127.109453204008
93,솔밭근린공원,34955㎡,서울특별시 강북구 우이동 80번지 일대,37.6529617325201,127.011901217642
94,금천체육공원(관악산),18083㎡,서울특별시 금천구 독산동 산118-4(금천체육공원),37.468311598807,126.908534104168
95,금천폭포근린공원,4835㎡,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),37.4463967342554,126.904444668874
96,만수천공원(관악산),19650 ㎡,서울특별시 금천구 독산동 산8 일대,37.4744740100373,126.90917268201
97,발바닥공원,7000㎡,서울특별시 도봉구 시루봉로6길 33,37.659608559714,127.029714783649
98,월천근린공원,10712㎡,서울특별시 도봉구 창동 28번지,37.6475682555549,127.05088353713
99,용두근린공원,17182㎡,서울특별시 동대문구 용두동 34-1번지 일대,37.573225401116,127.040095529989
100,상암근린공원,160349.3㎡,서울특별시 마포구 상암동 1761,37.5774940624802,126.885124408175
101,와우근린공원,87432.4㎡,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),37.5530198539183,126.929838872054
102,금호근린공원,13467㎡   ,서울특별시 성동구 장터1길 18,37.5492412669908,127.018529808669
103,달맞이근린공원,46871㎡,서울특별시 성동구 옥수동 산1-1,37.543810961871,127.020086053671
104,문정근린공원,49972㎡,서울특별시 송파구 문정동 18-4,37.4865125024037,127.128966800378
105,문화예술공원,74385㎡,서울특별시 서초구 바우뫼로12길 40 (양재동),37.4698840182934,127.032021588149
106,세종로공원,8868㎡ ,서울특별시 종로구 세종대로 189 (우) 03172,,
107,샘말공원(관악산),10634㎡ ,서울특별시 관악구 대학동 산63-1일대 샘말공원,37.4643280288012,126.938417382626
108,초안산생태공원,22113㎡,서울특별시 도봉구 창동 산24,37.6474940352509,127.041384128711
109,푸른수목원,,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,37.4819684351942,126.823669475359
110,서오능도시자연공원,1082847㎡,경기 고양시 덕양구 서오릉로 334-32,37.6235562459949,126.900767390316
111,청계산도시자연공원,3692455㎡   ,서울특별시 서초구 원지동 산 33,37.4426405512928,127.054230477837
112,개화근린공원,386500㎡,서울특별시 강서구 개화동 산17,37.5880427342845,126.805797363476
113,아차산생태공원,23450㎡,서울 광진구 영화사로 145,37.5517558284179,127.100376070139
114,인능산도시자연공원,2400833㎡,서울특별시 서초구 내곡동 산12-404,37.4486695018909,127.066583456467
115,구룡산,2752421㎡,서울특별시 서초구 염곡동 산25-1,37.4667054289841,127.059308631465
116,우면산도시자연공원,4180551㎡,서울특별시 서초구 우면동 산35-1,37.4701224414245,127.009205899641
117,향림근린공원,147859㎡,서울특별시 은평구 진관동 산55,37.6293225620456,126.92200603291
118,신사근린공원,111650㎡,서울특별시 은평구 신사동 산80-4,37.5919508073299,126.909870826309
119,문화역 서울284,,서울특별시 중구 통일로 1 서울역,37.5560581817344,126.972115894161
120,광평근린공원,519782㎡ ,서울특별시 강남구 수서동 산10-1,37.4881270188254,127.093225474436
121,청담근린공원,59347㎡ ,서울특별시 강남구 청담동 66,37.5210712813721,127.051232687748
122,허브천문공원,25500㎡ ,서울 강동구 둔촌동 산 86,37.5374114232963,127.154246253068
123,연신내물빛공원,2560㎡ ,서울특별시 은평구 통일로 849,37.618962003178,126.921162124977
124,나들이근린공원,32000㎡ ,서울 중랑구 망우동 73-12,37.6054890452696,127.113008570677
125,숭인근린공원,45615㎡ ,서울특별시 종로구 숭인동 58,37.576055524349,127.017547609345
126,서일대뒷산공원,631021㎡ ,서울특별시 중랑구 면목동 산19,37.5875793966445,127.098770889366
127,용마도시자연공원(사가정공원),109635㎡ ,서울 중랑구 면목동 산 50-15,37.5802640273795,127.094512194358
128,문화비축기지,140022㎡,서울특별시 마포구 증산로 87,37.5703466887615,126.895031420115
129,경춘선숲길,211392㎡,서울 노원구 공릉동 706,37.6304565957753,127.072103322862
130,율현공원,157535㎡,서울특별시 강남구 율현동 밤고개로24길(율현동 56),37.4721971560599,127.106177680728
131,서울로7017,,서울 중구 퇴계로 33,37.5575463434632,126.976607882008
